id;pcode;space;start;end;activity
1;1,01E+13;100100;240;540;1
1;1,01E+13;*;540;570;133
1;1,01E+13;20203;570;1050;25
1;1,01E+13;*;1050;1080;133
1;1,01E+13;100100;1080;1740;1
2;1,01E+13;100100;240;840;1
2;1,01E+13;*;840;855;100
2;1,01E+13;100100;855;855;52
2;1,01E+13;*;855;870;100
2;1,01E+13;100100;870;900;1
2;1,01E+13;*;900;1005;121
2;1,01E+13;80600;1005;1005;52
2;1,01E+13;*;1005;1110;121
2;1,01E+13;100100;1110;1740;1
3;1,01E+13;100100;240;510;1
3;1,01E+13;*;510;525;121
3;1,01E+13;250300;525;655;13
3;1,01E+13;*;655;665;121
3;1,01E+13;240100;665;725;13
3;1,01E+13;*;725;735;121
3;1,01E+13;90200;735;795;13
3;1,01E+13;*;795;810;121
3;1,01E+13;100100;810;860;1
3;1,01E+13;*;860;870;121
3;1,01E+13;120500;870;935;13
3;1,01E+13;*;935;940;121
3;1,01E+13;40300;940;1070;13
3;1,01E+13;*;1070;1095;121
3;1,01E+13;110500;1095;1125;33
3;1,01E+13;*;1125;1135;121
3;1,01E+13;100100;1135;1740;1
4;1,01E+13;100100;240;570;1
4;1,01E+13;*;570;575;121
4;1,01E+13;90403;575;765;51
4;1,01E+13;*;765;770;121
4;1,01E+13;100100;770;1740;1
5;1,01E+13;100100;240;1050;1
5;1,01E+13;*;1050;1080;121
5;1,01E+13;210205;1080;1170;32
5;1,01E+13;*;1170;1200;121
5;1,01E+13;100100;1200;1740;1
6;1,01E+13;100100;240;480;1
6;1,01E+13;*;480;500;133
6;1,01E+13;50312;500;600;25
6;1,01E+13;*;600;630;133
6;1,01E+13;100100;630;800;1
6;1,01E+13;*;800;820;133
6;1,01E+13;50312;820;950;25
6;1,01E+13;*;950;960;133
6;1,01E+13;20100;960;1020;33
6;1,01E+13;*;1020;1080;100
6;1,01E+13;100100;1080;1740;1
7;1,01E+13;100100;240;540;1
7;1,01E+13;*;540;545;100
7;1,01E+13;100100;545;545;52
7;1,01E+13;*;545;550;100
7;1,01E+13;100100;550;600;1
7;1,01E+13;*;600;605;100
7;1,01E+13;100100;605;645;32
7;1,01E+13;*;645;645;100
7;1,01E+13;100100;645;650;33
7;1,01E+13;*;650;660;100
7;1,01E+13;100100;660;780;1
7;1,01E+13;*;780;785;100
7;1,01E+13;100100;785;785;52
7;1,01E+13;*;785;790;100
7;1,01E+13;100100;790;840;1
7;1,01E+13;*;840;865;133
7;1,01E+13;100900;865;930;41
7;1,01E+13;*;930;955;133
7;1,01E+13;100100;955;1110;1
7;1,01E+13;*;1110;1115;100
7;1,01E+13;100100;1115;1115;52
7;1,01E+13;*;1115;1120;100
7;1,01E+13;100100;1120;1740;1
8;1,01E+13;100100;240;520;1
8;1,01E+13;*;520;525;121
8;1,01E+13;100105;525;535;61
8;1,01E+13;*;535;560;121
8;1,01E+13;250100;560;720;11
8;1,01E+13;*;720;725;100
8;1,01E+13;250100;725;795;53
8;1,01E+13;*;795;800;100
8;1,01E+13;250100;800;1140;11
8;1,01E+13;*;1140;1155;121
8;1,01E+13;100100;1155;1740;1
9;1,01E+13;100100;240;510;1
9;1,01E+13;*;510;540;133
9;1,01E+13;120600;540;720;11
9;1,01E+13;*;720;730;100
9;1,01E+13;120600;730;740;33
9;1,01E+13;*;740;750;100
9;1,01E+13;120600;750;1035;11
9;1,01E+13;*;1035;1065;133
9;1,01E+13;100105;1065;1075;64
9;1,01E+13;*;1075;1085;100
9;1,01E+13;100100;1085;1740;1
10;1,01E+13;100100;240;495;1
10;1,01E+13;*;495;530;131
10;1,01E+13;*;495;530;133
10;1,01E+13;30300;530;690;51
10;1,01E+13;*;690;720;131
10;1,01E+13;*;690;720;133
10;1,01E+13;100100;720;885;1
10;1,01E+13;*;885;915;133
10;1,01E+13;120600;915;990;32
10;1,01E+13;*;990;1020;133
10;1,01E+13;100100;1020;1035;1
10;1,01E+13;*;1035;1065;133
10;1,01E+13;110800;1065;1140;51
10;1,01E+13;*;1140;1170;133
10;1,01E+13;100100;1170;1740;1
11;1,01E+13;100100;240;840;1
11;1,01E+13;*;840;910;100
11;1,01E+13;240100;910;910;52
11;1,01E+13;*;910;975;131
11;1,01E+13;100100;975;1110;1
11;1,01E+13;*;1110;1170;131
11;1,01E+13;*;1110;1170;133
11;1,01E+13;320200;1170;1350;54
11;1,01E+13;*;1350;1410;131
11;1,01E+13;*;1350;1410;133
11;1,01E+13;100100;1410;1740;1
12;1,01E+13;100100;240;690;1
12;1,01E+13;*;690;720;133
12;1,01E+13;20100;720;810;53
12;1,01E+13;*;810;825;100
12;1,01E+13;10100;825;825;30
12;1,01E+13;*;825;825;100
12;1,01E+13;10100;825;830;30
12;1,01E+13;*;830;855;100
12;1,01E+13;21000;855;990;51
12;1,01E+13;*;990;1035;100
12;1,01E+13;20200;1035;1035;52
12;1,01E+13;*;1035;1080;131
12;1,01E+13;100100;1080;1740;1
13;1,01E+13;100100;240;390;1
13;1,01E+13;*;390;590;139
13;1,01E+13;*;390;590;139
13;1,01E+13;*;390;590;121
13;1,01E+13;*;390;590;151
13;1,01E+13;975115;590;790;13
13;1,01E+13;*;790;795;100
13;1,01E+13;975115;795;850;53
13;1,01E+13;*;850;855;100
13;1,01E+13;975115;855;1095;13
13;1,01E+13;*;1095;1290;151
13;1,01E+13;*;1095;1290;139
13;1,01E+13;*;1095;1290;139
13;1,01E+13;*;1095;1290;121
13;1,01E+13;100100;1290;1740;1
14;1,01E+13;100100;240;630;1
14;1,01E+13;*;630;635;100
14;1,01E+13;100100;635;640;33
14;1,01E+13;*;640;660;100
14;1,01E+13;100107;660;660;52
14;1,01E+13;*;660;685;100
14;1,01E+13;100100;685;1200;1
14;1,01E+13;*;1200;1245;121
14;1,01E+13;20100;1245;1360;53
14;1,01E+13;*;1360;1380;121
14;1,01E+13;100100;1380;1740;1
15;1,01E+13;100100;240;480;1
15;1,01E+13;*;480;495;121
15;1,01E+13;280300;495;720;11
15;1,01E+13;*;720;755;100
15;1,01E+13;110805;755;825;53
15;1,01E+13;*;825;855;100
15;1,01E+13;280300;855;1110;11
15;1,01E+13;*;1110;1125;121
15;1,01E+13;240400;1125;1130;35
15;1,01E+13;*;1130;1140;121
15;1,01E+13;100100;1140;1740;1
16;1,01E+13;100100;240;455;1
16;1,01E+13;*;455;475;133
16;1,01E+13;20505;475;950;11
16;1,01E+13;*;950;1000;133
16;1,01E+13;120400;1000;1080;51
16;1,01E+13;*;1080;1110;133
16;1,01E+13;100100;1110;1740;1
